Gender,Event,Location,Year,Medal,Name,Nationality,Result
M,100M Men,Paris,2024,G,Noah LYLES,USA,9.79
M,100M Men,Paris,2024,S,Kishane THOMPSON,JAM,9.79
M,100M Men,Paris,2024,B,Fred KERLEY,USA,9.81
M,200M Men,Paris,2024,G,Letsile TEBOGO,BOT,19.46
M,200M Men,Paris,2024,S,Kenneth BEDNAREK,USA,19.62
M,200M Men,Paris,2024,B,Noah LYLES,USA,19.7
M,400M Men,Paris,2024,G,Quincy HALL,USA,43.4
M,400M Men,Paris,2024,S,Matthew HUDSON-SMITH,GBR,43.44
M,400M Men,Paris,2024,B,Muzala SAMUKONGA,ZAM,43.74
M,800M Men,Paris,2024,G,Emmanuel WANYONYI,KEN,01:41.2
M,800M Men,Paris,2024,S,Marco AROP,CAN,01:41.2
M,800M Men,Paris,2024,B,Djamel SEDJATI,ALG,01:41.5
M,1500M Men,Paris,2024,G,Cole HOCKER,USA,03:27.6
M,1500M Men,Paris,2024,S,Josh KERR,GBR,03:27.8
M,1500M Men,Paris,2024,B,Yared NUGUSE,USA,03:27.8
M,5000M Men,Paris,2024,G,Jakob INGEBRIGTSEN,NOR,13:13.7
M,5000M Men,Paris,2024,S,Ronald KWEMOI,KEN,13:15.0
M,5000M Men,Paris,2024,B,Grant FISHER,USA,13:15.1
M,10000M Men,Paris,2024,G,Joshua Kiprui CHEPTEGEI,UGA,26:43.1
M,10000M Men,Paris,2024,S,Berihu AREGAWI,ETH,26:43.4
M,10000M Men,Paris,2024,B,Grant FISHER,USA,26:43.5
M,Marathon Men,Paris,2024,G,Tamirat TOLA,ETH,02:06:26
M,Marathon Men,Paris,2024,S,Bashir ABDI,BEL,02:06:47
M,Marathon Men,Paris,2024,B,Benson KIPRUTO,KEN,02:07:00
M,110M Hurdles Men,Paris,2024,G,Grant HOLLOWAY,USA,12.99
M,110M Hurdles Men,Paris,2024,S,Daniel ROBERTS,USA,13.09
M,110M Hurdles Men,Paris,2024,B,Rasheed BROADBELL,JAM,13.09
M,400M Hurdles Men,Paris,2024,G,Rai BENJAMIN,USA,46.46
